Sample_ID,Dielectric_Constant,Loss_Tangent,Permittivity_Stability
CERAMIC_1,52.0,0.021,0.95
CERAMIC_2,48.5,0.022,0.95
CERAMIC_3,53.0,0.027,0.96
CERAMIC_4,49.5,0.028,0.96
CERAMIC_5,54.0,0.033,0.93
CERAMIC_6,50.5,0.019,0.93
CERAMIC_7,55.0,0.024,0.94
CERAMIC_8,51.5,0.025,0.94
CERAMIC_9,56.0,0.03,0.91
CERAMIC_10,52.5,0.031,0.91
CERAMIC_11,57.0,0.021,0.92
CERAMIC_12,53.5,0.022,0.92
CERAMIC_13,58.0,0.027,0.89
CERAMIC_14,54.5,0.028,0.9
CERAMIC_15,59.0,0.033,0.9
CERAMIC_16,55.5,0.019,0.91
CERAMIC_17,60.0,0.024,0.87
CERAMIC_18,56.5,0.025,0.88
CERAMIC_19,61.0,0.03,0.88
CERAMIC_20,57.5,0.031,0.89
CERAMIC_21,62.0,0.021,0.85
CERAMIC_22,58.5,0.022,0.85
CERAMIC_23,63.0,0.027,0.86
CERAMIC_24,59.5,0.028,0.86
CERAMIC_25,64.0,0.033,0.83
CERAMIC_26,60.5,0.019,0.83
CERAMIC_27,65.0,0.024,0.84
CERAMIC_28,61.5,0.025,0.84
CERAMIC_29,66.0,0.03,0.81
CERAMIC_30,62.5,0.031,0.81
CERAMIC_31,67.0,0.021,0.82
CERAMIC_32,63.5,0.022,0.82
CERAMIC_33,68.0,0.027,0.79
CERAMIC_34,64.5,0.028,0.79
CERAMIC_35,69.0,0.033,0.8
CERAMIC_36,65.5,0.019,0.8
CERAMIC_37,70.0,0.024,0.77
CERAMIC_38,66.5,0.025,0.77
CERAMIC_39,71.0,0.03,0.78
CERAMIC_40,67.5,0.031,0.78
